"time" "coef" "e.time" "e.coef"
1000 0.08 870.13 0.04
1002 0.2 891.615 0.05
1003 0.2 1069.28 0.04
1008 0.15 912.2 0.11
1012 0.04 814.83 0.01
1014 0.13 876.5 0.025
1015 0.11 841.82 0.000598967208182912
1015 0.1 751.81 0.02
1016 0.09 860.17 0.02
1017 0.15 938.385 0.08
1023 0.04 1010.66 0.02
1023 0.11 917.71 0.22
1023 0.17 954.46 0.06
1026 0.03 923.39 0.03
1026 0.19 822.2 0.03
1029 0.12 826.34 0.05
1032 0.17 931.905 0.02
1033 0.05 893.49 0.04
1038 0.06 859.95 0.07
1038 0.14 761.295 0.02
1043 0.06 957.51 0.02
1044 0.09 889.44 0.03
1045 0.12 943.44 0.11
1046 0.2 972.3 0.03
1047 0.2 969.14 0.03
1048 0.2 911.19 0.02
1049 0.13 949.72 0.03
1052 0.07 973.575 0.06
1052 0.14 1031.15 0.07
1055 0.07 805.78 0.025
1055 0.16 813.08 0
1057 0.08 961.78 0.02
1058 0.1 966.31 0.05
1061 0.06 918.49 0.03
1061 0.17 904.42 0.02
1064 0.2 940.98 0.05
1066 0.06 821.93 0.02
1070 0.19 1017.31 0.02
1072 0.09 951.77 0.01
1074 0.12 997.76 0.01
1075 0.1 909.77 0.04
1079 0.03 874.75 0.06
1080 0.09 955.18 0.02
1081 0.11 921.165 0.01
1083 0.13 907.44 0.03
1085 0.08 1036.31 0.03
1086 0.05 981.59 0.59
1087 0.03 952.53 0.02
1087 0.06 913.86 0.03
1094 0.15 851.03 0.06
1097 0.19 949.24 0.015
1099 0.04 913.34 0.02
1099 0.17 812.15 0.03
1100 0.15 1025.27 0.09
1101 0.03 855.63 0.03
1102 0.09 1009.585 0.015
1104 0.04 969.97 0.02
1104 0.12 826.255 0.055
1107 0.14 1051.7 0.1
1109 0.12 956.68 0.04
1112 0.17 898.52 0.03
1112 0.2 845.66 0.04
1113 0.11 963.85 0.04
1119 0.04 855.82 0.09
1119 0.14 999.03 0.02
1123 0.16 1342.4 0.04
1132 0.15 1052.84 0.03
1134 0.05 899.73 0.03
1138 0.11 1071.82 0.03
1138 0.1 1024.74 0.05
1141 0.12 965.27 0.03
1145 0.13 872.39 0.08
1145 0.19 514.75 0.06
1149 0.09 958.49 0.085
1151 0.11 896.975 0.05
1152 0.19 914.79 0.01
1154 0.11 908.74 0.035
1156 0.2 1050.45 0.11
1160 0.03 1032.96 0.03
1160 0.11 1017.46 0.04
1161 0.08 942.66 0.00228031970733259
1161 0.1 891.615 0.05
1161 0.2 859.18 0.06
1163 0.18 975.21 0.05
1165 0.18 927.91 0.04
1169 0.08 1044.55 0.015
1181 0.11 1110.29 0.02
1181 0.13 962 0.18
1186 0.03 1023.69 0.02
1186 0.13 803.56 0.03
1187 0.18 993.76 0.025
1188 0.11 792.56 0.03
1190 0.05 931.005 0.06
1196 0.19 993.67 0.16
1198 0.19 883.84 0.04
1206 0.2 932.9 0.01
1213 0.16 882.81 0.035
1218 0.11 1072.04 0.04
1220 0.18 947.42 0.055
1220 0.19 949.225 0.23
1221 0.04 1003 0.05
1222 0.17 984.22 0.08
1224 0.1 906.32 0.03
1226 0.11 1026.78 0.02
1226 0.14 948.98 0.17
1237 0.12 949.05 0.02
1242 0.19 920.43 0.05
1245 0.16 958.44 0.07
1255 0.05 1032.895 0.03
1255 0.14 944.55 0.035
1255 0.19 511.97 0.04
1256 0.04 1136.93 0.02
1256 0.16 929.05 0.03
1265 0.2 1128.31 0.06
1269 0.16 939.27 0.05
1270 0.18 1011.245 0.08
1275 0.03 906.3 0.02
1276 0.16 1055.35 0.09
1281 0.09 973.555 0.01
1292 0.1 544.145 0.04
1296 0.03 919.765 0.03
1305 0.19 601.81 0.03
1306 0.18 1073.805 0.045
1309 0.02 849.05 0.06
1309 0.15 557.7 0.1
1312 0.12 913.19 0.01
1316 0.06 1110.94 0.03
1324 0.06 1010.71 0.02
1327 0.06 945.45 0.03
1328 0.2 812.815 0.04
1343 0.13 1038.66 0.055
1347 0.06 928.96 0.03
1348 0.07 1115.42 0.04
1348 0.11 966.84 0.04
1352 0.14 939.93 0.05
1372 0.04 983.42 0.04
1402 0.18 1015.87 0.08
1407 0.06 1000.98 0.02
1418 0.19 961.515 0.04
1420 0.09 1035.91 0.04
1431 0.2 1006.2 0.06
1437 0.18 1073.6 0.055
1439 0.15 949.78 0.03
1444 0.09 958.69 0.04
1447 0.18 737.79 0.03
1450 0.15 984.77 0.12
1452 0.11 1021.23 0.04
1452 0.19 1111.88 0.08
1458 0.06 944.22 0.04
1478 0.16 879.9 0.05
1486 0.14 1041.78 0.04
1520 0.09 1056.055 0.03
1524 0.2 1098.27 0.04
1529 0.03 987.64 0.01
1540 0.07 1164.89 0.03
1546 0.2 969.935 0.05
1550 0.13 969.81 0.06
1551 0.19 1044.29 0.04
1552 0.14 1050.31 0.04
1554 0.16 1064.81 0.03
1555 0.08 1087.33 0.07
1572 0.06 978.96 0.03
1578 0.17 951.08 0.03
1588 0.12 702.87 0.02
1604 0.08 1028.58 0.01
