"time" "coef" "e.time" "e.coef"
1004 0.07 773.31 0.02
1006 0.11 1047.79 0.00118951449230291
1008 0.2 748.51 0.045
1009 0.04 753.7 0.05
1013 0.07 829.15 0.06
1017 0.09 896.27 0.01
1028 0.16 524.6 0.07
1028 0.1 828.975 0.02
1029 0.17 814.49 0.03
1030 0.19 711.09 0.07
1032 0.06 864.59 0.01
1036 0.08 886.5 0.04
1036 0.12 879.665 0.00153895452769181
1036 0.19 602.19 0.12
1041 0.09 794.78 0.02
1043 0.17 845.07 0.01
1052 0.19 865.6 0.04
1061 0.1 899.47 0.04
1063 0.12 889.24 0.05
1064 0.05 809.34 0.00141260660397988
1065 0.09 799.1 0.11
1071 0.07 782.52 0.04
1074 0.2 818.365 0.02
1076 0.06 766.1 0.02
1083 0.15 766.62 0.04
1088 0.13 597.72 0.04
1095 0.04 748.04 0.04
1116 0.05 905.44 0.02
1118 0.19 788.155 0.02
1120 0.15 833.99 0.05
1125 0.03 887.58 0.02
1129 0.13 846.92 0.04
1133 0.04 863.83 0.01
1133 0.18 545.69 0.06
1146 0.18 834.42 0.02
1168 0.16 664.67 0.0221504097116843
1172 0.08 416.19 0.07
1175 0.12 531.16 0.045
1179 0.16 861.71 0.04
1193 0.14 969.28 0.04
1195 0.14 581.53 0.05
1202 0.07 972.42 1.09
1255 0.14 452.64 0.05
1257 0.04 804.47 0.02
1257 0.16 592.82 0.04
1259 0.03 722.62 0.02
1267 0.04 665.13 0.02
1296 0.16 691.81 0.07
1303 0.18 916.2 0.1
1304 0.11 694.63 0.04
1315 0.17 841.01 0.08
1326 0.14 697.95 0.04
1326 0.1 825.08 0.04
1327 0.07 531.97 0.12
1331 0.2 504.67 0.04
1358 0.1 818.63 0.085
1371 0.03 851.065 0.00801269320347237
1373 0.2 849.05 0.05
1387 0.2 590.89 0.05
1388 0.2 845.63 0.04
1401 0.17 666.625 0.05
1406 0.06 477.655 0.05
1416 0.2 649.95 0.05
1425 0.17 700.23 0.04
1443 0.03 422.73 0.01
1447 0.19 758.855 0.04
1464 0.15 602.54 0.08
1465 0.15 696.62 0.03
1498 0.19 739.105 0.03
1505 0.19 736.63 0.03
1506 0.04 545.92 0.02
1514 0.01 379.81 0.08
1549 0.05 631.14 0.07
1553 0.05 652.3 0.03
1565 0.04 690.64 0.0224374836173001
1571 0.14 933.97 0.165
1574 0.19 640.22 0.01
1578 0.17 662.83 0.03
1589 0.18 770.56 0.03
1594 0.19 694.97 0.07
1596 0.06 716.79 0.05
1609 0.08 732.53 0.06
1620 0.15 779.94 0.04
1628 0.19 911.08 0.06
1644 0.14 852.945 0.175
1659 0.18 728.82 0.06
1659 0.19 717.67 0.03
1681 0.08 759.62 0.04
1683 0.05 646.03 0.06
1686 0.15 710.22 0.05
1709 0.12 739.78 0.03
1719 0.2 807.145 0.03
1724 0.15 816.37 0.02
