"time" "coef" "e.time" "e.coef"
1000 0.15 862.4 0.11
1001 0.16 893.9 0.09
1002 0.11 890.94 0.05
1002 0.15 822.78 0.07
1003 0.11 868.11 0.05
1004 0.09 895.795 0.07
1009 0.2 1358.09 0.08
1012 0.19 1025.495 0.07
1013 0.12 1038.14 0.08
1014 0.14 775.72 0.05
1017 0.04 845.395 0.03
1017 0.06 874.07 0.05
1018 0.12 959.49 0.14
1020 0.09 1016.76 0.09
1021 0.16 1146.02 0.09
1022 0.03 1032.17 0.02
1023 0.05 1115.17 0.08
1027 0.06 847.04 0.04
1028 0.05 925.79 0.09
1030 0.12 1135.18 0.1
1032 0.15 783.27 0.04
1036 0.04 892.93 0.05
1036 0.16 1479.16 0.03
1037 0.08 870.51 0.06
1040 0.06 1066.11 0.15
1040 0.17 1369.22 0.07
1040 0.18 931.98 0.05
1041 0.1 1156.54 0.04
1042 0.16 1299.9 0.08
1047 0.1 1202.24 0.07
1051 0.06 1097.89 0.05
1053 0.17 1284.525 0.155
1055 0.12 1026.825 0.08
1056 0.04 1166.95 0.06
1059 0.16 1020.905 0.06
1061 0.11 787.38 0.09
1063 0.14 1102.3 0.06
1063 0.18 1030.44 0.05
1068 0.07 1099.52 0.06
1069 0.07 1205.03 0.04
1073 0.11 1074.28 0.11
1073 0.15 1179.93 0.03
1074 0.1 1021.41 0.05
1075 0.03 1255.9 0.09
1076 0.13 1090.58 0.03
1078 0.17 968.28 0.1
1081 0.08 1114.54 0.07
1081 0.14 1035 0.11
1086 0.14 946.69 0.06
1089 0.12 1322.99 0.03
1091 0.08 976.07 0.04
1091 0.18 1144.12 0.05
1092 0.06 1268.73 0.08
1096 0.07 1162.73 0.09
1097 0.06 1151.84 0.05
1098 0.18 1140.19 0.06
1098 0.19 1083.98 0.06
1100 0.09 970.16 0.04
1102 0.17 1510.53 0.09
1106 0.07 930.11 0.1
1106 0.2 1076.655 0.07
1108 0.2 975.56 0.12
1110 0.13 1145.9 0.07
1110 0.17 1054.96 0.1
1115 0.05 1057.54 0.05
1115 0.18 1022.05 0.05
1116 0.11 852.95 0.08
1117 0.17 1291.59 0.06
1119 0.05 1108.455 0.04
1121 0.11 976.58 0.08
1128 0.04 1002.04 0.04
1131 0.09 1050.93 0.06
1132 0.16 1041.865 0.05
1133 0.19 814.45 0.08
1135 0.04 877.75 0.05
1135 0.08 1474.51 0.06
1136 0.19 942.21 0.05
1137 0.13 1140.83 0.03
1139 0.05 1091.11 0.05
1140 0.05 1397.76 0.03
1140 0.08 1071.91 0.08
1143 0.09 924.17 0.05
1145 0.09 1650.06 0.05
1145 0.2 944.41 0.08
1146 0.19 1050.215 0.07
1147 0.18 1032.795 0.04
1148 0.04 959.36 0.04
1148 0.06 928.3 0.05
1148 0.08 1072.79 0.05
1149 0.04 1064.75 0.06
1150 0.07 1141.5 0.04
1156 0.13 1170.24 0.06
1156 0.17 1154.33 0.07
1156 0.2 1167.85 0.05
1158 0.06 998.255 0.07
1158 0.19 1055.41 0.07
1160 0.13 1142.78 0.07
1160 0.16 955.11 0.045
1160 0.1 1274.63 0.07
1163 0.03 1017.44 0.04
1163 0.16 1048.315 0.04
1168 0.19 993.83 0.03
1169 0.08 895.91 0.11
1171 0.17 970.3 0.07
1173 0.16 1106.96 0.04
1173 0.19 1092.7 0.07
1177 0.12 1290.19 0.09
1178 0.18 1182.72 0.06
1179 0.08 1175.22 0.04
